time,trans_lat,trans_lon,receive_lat,receive_lon,frequency,rssi,dist
20200125135023,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-68,11.807873565858714
20200125135024,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-70,11.807873565858714
20200125135025,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-69,11.807873565858714
20200125135026,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-71,11.807873565858714
20200125135027,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-69,11.807873565858714
20200125135028,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-67,11.807873565858714
20200125135028,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-70,11.807873565858714
20200125135029,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-69,11.807873565858714
20200125135030,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-70,11.807873565858714
20200125135031,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-69,11.807873565858714
20200125135032,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-72,11.807873565858714
20200125135033,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-69,11.807873565858714
20200125135033,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-70,11.807873565858714
20200125135034,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-70,11.807873565858714
20200125135035,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-70,11.807873565858714
20200125135036,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-67,11.807873565858714
20200125135037,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-67,11.958334189630829
20200125135038,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-69,11.958334189630829
20200125135038,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-67,11.958334189630829
20200125135039,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-70,11.958334189630829
20200125135040,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-70,11.958334189630829
20200125135041,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-67,11.958334189630829
20200125135042,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-69,11.958334189630829
20200125135043,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-71,11.958334189630829
20200125135044,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-69,11.958334189630829
20200125135045,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-70,11.958334189630829
20200125135046,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-69,11.958334189630829
20200125135047,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-69,11.958334189630829
20200125135047,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-69,11.958334189630829
20200125135048,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-69,11.958334189630829
20200125135049,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-69,11.958334189630829
20200125135051,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-71,11.958334189630829
20200125135051,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-70,11.958334189630829
20200125135052,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-69,11.958334189630829
20200125135052,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-69,11.958334189630829
20200125135054,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-68,11.958334189630829
20200125135054,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-69,11.958334189630829
20200125135055,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-69,11.958334189630829
20200125135056,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-69,11.958334189630829
20200125135057,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-69,11.958334189630829
20200125135058,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-69,11.958334189630829
20200125135059,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-69,11.958334189630829
20200125135103,35.65842,139.54399833333332,35.658411666666666,139.54386666666667,920000000,-69,11.958334189630829
20200125135134,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-69,11.807873565858714
20200125135135,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-69,11.807873565858714
20200125135142,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-69,11.807873565858714
20200125135143,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-69,11.807873565858714
20200125135145,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-69,11.807873565858714
20200125135145,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-69,11.807873565858714
20200125135146,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-69,11.807873565858714
20200125135147,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-69,11.807873565858714
20200125135148,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-69,11.807873565858714
20200125135149,35.65842,139.54399833333332,35.658411666666666,139.54386833333334,920000000,-69,11.807873565858714
20200125135150,35.65842,139.54399833333332,35.658411666666666,139.54387,920000000,-69,11.657424773457828
20200125135150,35.65842,139.54399833333332,35.658411666666666,139.54387,920000000,-69,11.657424773457828
20200125135151,35.65842,139.54399833333332,35.658411666666666,139.54387,920000000,-69,11.657424773457828
20200125135152,35.65842,139.54399833333332,35.658411666666666,139.54387,920000000,-69,11.657424773457828
20200125135153,35.65842,139.54399833333332,35.658411666666666,139.54387,920000000,-69,11.657424773457828
20200125135154,35.65842,139.54399833333332,35.658411666666666,139.54387,920000000,-69,11.657424773457828
20200125135155,35.65842,139.54399833333332,35.658411666666666,139.54387,920000000,-70,11.657424773457828
20200125135155,35.65842,139.54399833333332,35.658411666666666,139.54387,920000000,-69,11.657424773457828
20200125135156,35.65842,139.54399833333332,35.658411666666666,139.54387,920000000,-69,11.657424773457828
20200125135157,35.65842,139.54399833333332,35.658411666666666,139.54387,920000000,-69,11.657424773457828
20200125135158,35.65842,139.54399833333332,35.658411666666666,139.54387,920000000,-69,11.657424773457828
20200125135159,35.65842,139.54399833333332,35.658411666666666,139.54387,920000000,-69,11.657424773457828
20200125135200,35.65842,139.54399833333332,35.658411666666666,139.54387,920000000,-69,11.657424773457828
20200125135201,35.65842,139.54399833333332,35.658411666666666,139.54387,920000000,-69,11.657424773457828
20200125135201,35.65842,139.54399833333332,35.658411666666666,139.54387,920000000,-69,11.657424773457828
20200125135202,35.65842,139.54399833333332,35.658411666666666,139.54387,920000000,-69,11.657424773457828
